# Kumulative Zahl der Infizierten gemaess
# https://interaktiv.morgenpost.de/corona-virus-karte-infektionen-deutschland-weltweit/
# zusammengefasst von R. Harlander.
# Achtung: Evtl. sind nicht alle Teilbeitraege gelistet, deshalb ist
# "Gesamt" >= Summe ueber Teileintraege.
# Alle Zahlen ohne Gewaehr - wie beim Lotto.
# Benutzung dieser Tabellen auf eigene Verantwortung!
#
# Die einzelnen Spalten von 1-18 sind:
# 1 - Datum [Jahr-Monat-Tag]
# 2 - Gesamt
# 3 - Nordrhein-Westfalen
# 4 - Baden-Wuerttemberg
# 5 - Bayern
# 6 - Niedersachsen
# 7 - Berlin
# 8 - Hessen
# 9 - Rheinland-Pfalz
# 10 - Hamburg
# 11 - Sachsen
# 12 - Schleswig-Holstein
# 13 - Brandenburg
# 14 - Sachsen-Anhalt
# 15 - Bremen
# 16 - Saarland
# 17 - Mecklenburg-Vorpommern
# 18 - Thueringen
2020-04-14 130072 26984 24898 33329 7951 4667 6114 4842 3887 3802 2135 2075 1210 489 2138 618 1494
2020-04-15 132210 27657 25438 34294 8070 4736 6347 5004 3925 3915 2248 2133 1240 500 2167 624 1550
2020-04-16 134753 27683 26050 34664 8217 4870 6347 5032 3978 4028 2248 2159 1249 504 2225 633 1566
2020-04-17 138135 28000 26630 36027 8462 4971 6705 5211 4064 4110 2349 2270 1288 556 2275 642 1682
2020-04-18 141397 28607 27328 36881 8682 5091 6916 5402 4195 4180 2387 2338 1317 567 2305 645 1717
2020-04-19 143724 29155 27710 37254 8863 5187 6983 5402 4297 4240 2387 2338 1352 582 2327 649 1722
2020-04-20 145742 29580 28078 37786 8967 5225 7147 5493 4347 4277 2417 2378 1371 601 2336 651 1768
2020-04-21 147065 29580 28712 38310 9150 5265 7231 5561 4368 4323 2426 2396 1387 609 2348 655 1798
2020-04-22 148453 29580 28793 38618 9275 5341 7305 5561 4401 4342 2446 2457 1399 625 2381 655 1820
2020-04-23 150648 30289 29350 39190 9437 5355 7446 5638 4449 4397 2496 2503 1429 673 2413 657 1874
2020-04-24 153129 30729 29912 39820 9599 5476 7639 5722 4511 4438 2530 2546 1440 708 2452 659 1962
2020-04-25 154999 31129 30369 40473 9720 5532 7796 5761 4558 4479 2557 2647 1481 708 2477 665 2023
2020-04-26 156513 31669 30761 40951 9849 5607 8257 5835 4589 4507 2630 2738 1495 740 2496 673 2064
2020-04-27 157770 31669 31017 41295 9909 5644 8257 5873 4636 4541 2630 2780 1516 754 2512 673 2098
2020-04-28 158758 32184 31196 41415 9959 5677 8026 5928 4658 4567 2653 2791 1520 759 2518 675 2144
2020-04-29 160059 32429 31406 42217 10100 5738 8185 5996 4724 4620 2679 2860 1531 797 2526 687 2208
2020-04-30 161539 32429 31589 42217 10100 5821 8185 5996 4724 4620 2679 2860 1550 827 2552 691 2208
2020-05-01 163009 33058 31919 42495 10198 5887 8376 6086 4801 4656 2714 2885 1565 859 2581 694 2323
2020-05-02 164077 33058 32123 42916 10306 5936 8393 6096 4820 4677 2714 2921 1572 859 2592 695 2323
2020-05-03 164967 33216 32272 43050 10344 5970 8486 6130 4831 4715 2728 2965 1577 875 2597 698 2335
2020-05-04 165664 33428 32389 43204 10386 6004 8524 6147 4834 4731 2738 2989 1579 893 2605 699 2353
